TAXON_ERROR;TAXON_NEW;Included in ERL 2024
?;-;No
alpinus Eumerus alpinus Ron;Eumerus alpinus;Yes
Anasimyia;-;No
Anasimyia contracta;Anasimyia contracta;Yes
Anasimyia femorata;Anasimyia femorata;Yes
Anasimyia interpuncta;Anasimyia interpuncta;Yes
Anasimyia lineata;Eurimyia lineata;Yes
Anasimyia lunulata;Anasimyia lunulata;Yes
Anasimyia Schiner,;-;No
Anasimyia transfuga;Anasimyia transfuga;Yes
Arctophila bombiformis;Sericomyia bombiformis;Yes
Arctophila mussitans;Sericomyia superbiens;Yes
Arctophila superbiens;Sericomyia superbiens;Yes
Azpeytia spinitarsis;-;No
Baccha;-;No
Baccha elongata;Baccha elongata;Yes
Baccha elongata;Baccha elongata;Yes
Baccha aff. elongata;Baccha elongata;Yes
Baccha elongata;Baccha elongata;Yes
Baccha obscuripennis;Baccha elongata;Yes
Baccha obsuripennis;Baccha elongata;Yes
Baccha sp.;-;No
Blera fallax;Blera fallax;Yes
Blera eoa;Blera eoa;Yes
Blera fallax;Blera fallax;Yes
Blera nitens;Blera nitens;Yes
Brachymyia berberina;Matsumyia berberina;Yes
Brachymyia floccosa;Criorhina floccosa;Yes
Brachyopa;-;No
Brachyopa scutellaris;Brachyopa scutellaris;Yes
Brachyopa bicolor;Brachyopa bicolor;Yes
Brachyopa cinerea;Brachyopa cinerea;Yes
Brachyopa dorsata;Brachyopa dorsata;Yes
Brachyopa insensilis;Brachyopa insensilis;Yes
Brachyopa panzeri;Brachyopa panzeri;Yes
Brachyopa pilosa;Brachyopa pilosa;Yes
Brachyopa quadrimaculosa;Brachyopa quadrimaculosa;Yes
Brachyopa scutellaris;Brachyopa scutellaris;Yes
Brachyopa testacea;Brachyopa testacea;Yes
Brachyopa vittata;Brachyopa vittata;Yes
Brachyopa zhelochovtsevi;Brachyopa zhelochovtsevi;Yes
Brachyopa atlantea;Brachyopa atlantea;Yes
Brachyopa basalaris;-;No
Brachyopa bicolor;Brachyopa bicolor;Yes
Brachyopa bimaculosa;Brachyopa bimaculosa;Yes
Brachyopa cinerea;Brachyopa cinerea;Yes
Brachyopa dorsata;Brachyopa dorsata;Yes
Brachyopa ferruginea;Hammerschmidtia ferruginea;Yes
Brachyopa grunewaldensis;Brachyopa grunewaldensis;Yes
Brachyopa ingrica;Hammerschmidtia ingrica;Yes
Brachyopa insensilis;Brachyopa insensilis;Yes
Brachyopa maculipennis;Brachyopa maculipennis;Yes
Brachyopa Meigen,;-;No
Brachyopa minima;Brachyopa minima;Yes
Brachyopa NULL;-;No
Brachyopa obscura;Brachyopa obscura;Yes
Brachyopa panzeri;Brachyopa panzeri;Yes
Brachyopa panzeri?;-;No
Brachyopa pilosa;Brachyopa pilosa;Yes
Brachyopa plena;Brachyopa plena;Yes
Brachyopa quadrimaculosa;Brachyopa quadrimaculosa;Yes
Brachyopa rufa;-;No
Brachyopa scutellaris;Brachyopa scutellaris;Yes
Brachyopa silviae;Brachyopa silviae;Yes
Brachyopa similis;Brachyopa minima;Yes
Brachyopa sp.;-;No
Brachyopa spec.;-;No
Brachyopa testacea;Brachyopa testacea;Yes
Brachyopa vernalis;Brachyopa vernalis;Yes
Brachyopa vittata;Brachyopa vittata;Yes
Brachyopa vittata?;-;No
Brachyopa zhelochovtsevi;Brachyopa zhelochovtsevi;Yes
Brachypalpoides lentus;Brachypalpoides lentus;Yes
Brachypalpoides lentus;Brachypalpoides lentus;Yes
Brachypalpoides chrysites;Brachypalpus chrysites;Yes
Brachypalpoides eunotus;Chalcosyrphus eunotus;Yes
Brachypalpoides laphriformi;Brachypalpus laphriformis;Yes
Brachypalpoides lentus;Brachypalpoides lentus;Yes
Brachypalpoides valgus;Brachypalpus valgus;Yes
Brachypalpus;-;No
Brachypalpus valgus;Brachypalpus valgus;Yes
