order;family;subfamily;tribe;genus;subgenus;specificEpithet;scientificName;scientificNameAuthorship
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Ulandrena;abbreviata ;Andrena abbreviata;Dours, 1873
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Taeniandrena ;aberrans;Andrena aberrans;Eversmann, 1852
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;abjecta;Andrena abjecta;Pérez, 1895
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Chlorandrena ;abrupta;Andrena abrupta;Warncke, 1967
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Ulandrena;acerba;Andrena acerba;Warncke, 1967
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Aciandrena;aciculata;Andrena aciculata;Morawitz, 1886
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;acuta;Andrena acuta;Warncke, 1968
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;incertae sedis;aegyptiaca;Andrena aegyptiaca;Friese, 1899
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Suandrena ;aegypticola;Andrena aegypticola;Friese, 1899
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Aenandrena;aeneiventris;Andrena aeneiventris;Morawitz, 1872
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Notandrena ;aerinifrons;Andrena aerinifrons;Dours, 1873
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Plastandrena ;afrensis;Andrena afrensis;Warncke, 1967
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Taeniandrena ;afzeliella;Andrena afzeliella;(Kirby, 1802)
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Plastandrena ;agilissima;Andrena agilissima;(Scopoli, 1770)
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Chlorandrena ;agnata;Andrena agnata;Warncke, 1967
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Truncandrena ;albopicta;Andrena albopicta;Radoszkowski, 1874
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Melandrena ;albopunctata;Andrena albopunctata;(Rossi, 1792)
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;alfkenella;Andrena alfkenella;Perkins, 1914
Hymenoptera;Andrenidae;Andreninae;Andrenini;Andrena;Micrandrena;alfkenelloides;Andrena alfkenelloides;Warncke, 1965
