TAXON_ERRORS;TAXON_NEW;Included in ERL 2024
-;-;No
Andrena alma;Andrena alma;Yes
Andrena antonellae;Andrena antonellae;Yes
Andrena cilissaeformis;Andrena cilissaeformis;Yes
Andrena crecca;Andrena crecca;Yes
Andrena bicolor (Fabricius);Andrena croatica;Yes
Andrena russula croceiventris;Andrena croceiventris;Yes
Andrena eversmanniana;Andrena eversmanniana;Yes
Andrena ghisbaini;Andrena ghisbaini;Yes
Andrena graciliata;Andrena graciliata;Yes
Andrena isolata;Andrena isolata;Yes
Andrena juliae;Andrena juliae;Yes
Andrena laevicorpus;Andrena laevicorpus;Yes
Andrena angustior impressa;Andrena lavandulae;Yes
Andrena lecana;Andrena lecana;Yes
Andrena niveata lecana;Andrena lecana;Yes
Andrena limosa;Andrena limosa;Yes
Andrena nigropilosa;Andrena nigropilosa;Yes
Andrena mariana solda;Andrena obsoleta;Yes
Andrena ortizi;Andrena ortizi;Yes
Andrena parata;Andrena parata;Yes
Andrena pruinosa parata;Andrena parata;Yes
Andrena pauxilla;Andrena pauxilla;Yes
Andrena maderensis portosanctana;Andrena portosanctana;Yes
Andrena taedium;Andrena taedium;Yes
Andrena mariana tenostra;Andrena tenostra;Yes
Andrena tenostra;Andrena tenostra;Yes
Andrena thomsoni;Andrena thomsonii;Yes
Andrena reperta varuga;Andrena varuga;Yes
Andrena gelriae vocifera;Andrena vocifera;Yes
Andrena vocifera;Andrena vocifera;Yes
Panurgus ibericus kastiliensis;Flavipanurgus kastiliensis;Yes
Halopanurgus baldocki;Halopanurgus baldocki;Yes
Anthophora thomsoni;Anthophora atriceps;Yes
Anthophora thomsonii;Anthophora atriceps;Yes
Anthophora ventrilabris;Anthophora ventilabris;Yes
Bombus reinigiellus;Bombus hortorum;Yes
Bombus lapponicus konradini;Bombus konradini;Yes
Epeolus bischoffi;Epeolus bischoffi;Yes
Eucera alborufa;Eucera alborufa;Yes
Eucera radoszkovskyi;Eucera alborufa;Yes
Eucera atriceps;Eucera atriceps;Yes
Eucera confinis;Eucera confinis;Yes
Eucera ferghanica;Eucera ferghanica;Yes
