databaseName;institutionID;projectSource;projectUpdate;datasetName;dataProvider;rightsHolder;license;accessRights;collection;references;referencesDOI;occurrenceID;verbatimOccurrenceID;modified;identificationVerificationStatus;pollinatorTaxa;verbatimScientificName;verbatimScientificNameAuthorship;verbatimFamily;verbatimGenus;verbatimSubgenus;verbatimSpecificEpithet;verbatimInfraspecificEpithet;scientificNameAuthorship;order;family;subfamily;tribe;genus;subgenus;specificEpithet;infraspecificEpithet;scientificName;individualCountEnd;individualCountStart;sex;recordedBy;identifiedBy;validatedBy;dateIdentified;taxonNote;verbatimEventDate;eventDate;yearEnd;monthEnd;dayEnd;yearStart;monthStart;dayStart;plantFamily;plantGenus;plantEpithet;plantScientificName;samplingProtocol;samplingNote;country;county;municipality;locality;decimalLatitude;decimalLongitude;coordinateUncertaintyInMetersEnd;coordinateUncertaintyInMetersStart;verbatimCoordinates;coordinatesType;coordinatesProvided;georeferenceNote;verbatimElevation;fieldNote;footPrintWKT;stateProvince;geometry;FILE_NAME
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;ADD_PULSE_2024;M. Kasparek;AV;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;AV;"";"";ADD_MK_0310_5666_av019;"";"";ADD_PULSE_2024;bee;Anthidium diadema;"";Megachilidae;Anthidium;"";diadema;"";Latreille, 1809;Hymenoptera;Megachilidae;Megachilinae;Anthidiini;Anthidium;Anthidium;diadema;"";Anthidium diadema;1;"";F;A.Varnava;"";"";"";AV-18-02857 / Anthidium sp.;26/04/2018;2018-4-26;2018;4;26;"";"";"";"";"";"";"";"";"";Cyprus;Cyprus;"";Akrotiri;34.5999734790664;32.9666666961239;"";"";c. 34°36'N 32°58'E;"";provided;"";7;SBA Akrotiri, Site 3, 36SVD9537226869;2126744.27942022|-1371693.94794271;Cyprus;6416680.11800112|1598401.51682308;ADD_PULSE_2024_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;ADD_PULSE_2024;Pierre Rasmont;IberianBee;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ADD_PR_BQ_198_Nov2023_23048;Nov2023_23048;"";ADD_PULSE_2024;bee;"";"";Apidae;Bombus;"";"";"";(Lepeletier, 1832);Hymenoptera;Apidae;Apinae;Bombini;Bombus;Psithyrus;quadricolor;"";Bombus quadricolor;1;"";U;"";"";"";"";Bombus quadricolor, N=1, spec_Id=Nov2023_23048;"";2006-8-21;2006;8;21;2006;8;21;"";"";"";"";"";"";France;France - France (mainland);"";"";42.76399994;0.007;"";"";"";"";provided;"";"";FIPS FR, orig DEG 42.764 0.007, datum WGS84;-818505.65834474|-750719.687409547;France;3503264.68409223|2238589.57614039;ADD_PULSE_2024_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;ADD_PULSE_2024;Matthieu Aubert;UMONS_BDFGM;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ADD_MA_766;"";"";ADD_PULSE_2024;bee;"";"";Megachilidae;Heriades;"";"";"";Pérez, 1890;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Heriades;Heriades;rubicola;"";Heriades rubicola;1;"";F;LE GOFF Gérard;LE GOFF Gérard;"";"";"";"";2002-6-11;2002;6;11;"";"";"";"";"";"";Chrysanthemum coronatum;"";"";France;France;"";"";41.43502272;9.185682637;"";"";"";"";provided;"";"";Coord. reduced to 3 decimales;-68488.2489989818|-951791.501432834;France;4252664.74608119|2037454.76637837;ADD_PULSE_2024_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;ADD_PULSE_2024;Matthieu Aubert;UMONS_BDFGM;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ADD_MA_766;"";"";ADD_PULSE_2024;bee;"";"";Megachilidae;Heriades;"";"";"";Pérez, 1890;Hymenoptera;Megachilidae;Megachilinae;Osmiini;Heriades;Heriades;rubicola;"";Heriades rubicola;1;"";F;LE GOFF Gérard;LE GOFF Gérard;"";"";"";"";2002-6-11;2002;6;11;"";"";"";"";"";"";Chrysanthemum coronatum;"";"";France;France;"";"";41.43502272;9.185682637;"";"";"";"";provided;"";"";Coord. reduced to 3 decimales;-68488.2489989818|-951791.501432834;France - Corsica;4252664.74608119|2037454.76637837;ADD_PULSE_2024_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;ADD_PULSE_2024;Pierre Rasmont;IberianBee;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ADD_PR_BQ_198_Nov2023_23048;Nov2023_23048;"";ADD_PULSE_2024;bee;"";"";Apidae;Bombus;"";"";"";(Lepeletier, 1832);Hymenoptera;Apidae;Apinae;Bombini;Bombus;Psithyrus;quadricolor;"";Bombus quadricolor;1;"";U;"";"";"";"";Bombus quadricolor, N=1, spec_Id=Nov2023_23048;"";2006-8-21;2006;8;21;2006;8;21;"";"";"";"";"";"";France;France - France (mainland);"";"";42.76399994;0.007;"";"";"";"";provided;"";"";FIPS FR, orig DEG 42.764 0.007, datum WGS84;-818505.65834474|-750719.687409547;France - France (mainland);3503264.68409223|2238589.57614039;ADD_PULSE_2024_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;ADD_PULSE_2024;M. Kasparek;Kasparek et al. 2024, https://doi.org/10.1016/j.aspen.2023.102203;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ADD_MK_0042_SEMC15;"";"";ADD_PULSE_2024;bee;"";"";Megachilidae;Eoanthidium;"";"";"";(Morawitz, 1874);Hymenoptera;Megachilidae;Megachilinae;Anthidiini;Eoanthidium;Eoanthidium;insulare;"";Eoanthidium insulare;1;"";M;"";"";"";"";"";"";NA-NA-NA;"";"";"";"";"";"";"";"";"";"";"";"";Greece;Greece;"";Lakonia Mistra, upper city and citadel;37.07;22.42;"";"";"";"";provided;"";"";Greece, B - Greece, Lakonia Mistra, upper city and citadel, 200;1118735.48537717|-1338467.39561693;Greece;5429187.49371118|1645285.14119938;ADD_PULSE_2024_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;ADD_PULSE_2024;M. Kasparek;Kasparek et al. 2024, https://doi.org/10.1016/j.aspen.2023.102203;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ADD_MK_0042_SEMC15;"";"";ADD_PULSE_2024;bee;"";"";Megachilidae;Eoanthidium;"";"";"";(Morawitz, 1874);Hymenoptera;Megachilidae;Megachilinae;Anthidiini;Eoanthidium;Eoanthidium;insulare;"";Eoanthidium insulare;1;"";M;"";"";"";"";"";"";NA-NA-NA;"";"";"";"";"";"";"";"";"";"";"";"";Greece;Greece;"";Lakonia Mistra, upper city and citadel;37.07;22.42;"";"";"";"";provided;"";"";Greece, B - Greece, Lakonia Mistra, upper city and citadel, 200;1118735.48537717|-1338467.39561693;Greece - Greece (mainland);5429187.49371118|1645285.14119938;ADD_PULSE_2024_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;ADD_PULSE_2024;Pierre Rasmont;UMONS_BDFGM;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ADD_PR_BQ_1025_BDFG_359232;BDFG_359232;"";ADD_PULSE_2024;bee;"";"";Apidae;Bombus;"";"";"";(Lepeletier, 1832);Hymenoptera;Apidae;Apinae;Bombini;Bombus;Psithyrus;quadricolor;"";Bombus quadricolor;1;"";"";"";"";"";"";Bombus quadricolor, N=1, spec_Id=BDFG_359232;"";1939-NA-NA;1939;"";"";1939;"";"";"";"";"";"";"";"";Russian Federation;Russian Federation - North European Russia;"";"";61.55706024;34.45550156;"";"";"";"";provided;"";"";FIPS RS00, orig deg 61.557264 34.456094, datum EUR-M;1305878.72332455|1496178.06607329;Russian Federation;5595023.82090573|4497064.7978624;ADD_PULSE_2024_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;ADD_PULSE_2024;Pierre Rasmont;UMONS_BDFGM;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ADD_PR_BQ_1025_BDFG_359232;BDFG_359232;"";ADD_PULSE_2024;bee;"";"";Apidae;Bombus;"";"";"";(Lepeletier, 1832);Hymenoptera;Apidae;Apinae;Bombini;Bombus;Psithyrus;quadricolor;"";Bombus quadricolor;1;"";"";"";"";"";"";Bombus quadricolor, N=1, spec_Id=BDFG_359232;"";1939-NA-NA;1939;"";"";1939;"";"";"";"";"";"";"";"";Russian Federation;Russian Federation - North European Russia;"";"";61.55706024;34.45550156;"";"";"";"";provided;"";"";FIPS RS00, orig deg 61.557264 34.456094, datum EUR-M;1305878.72332455|1496178.06607329;Russian Federation - European Russia;5595023.82090573|4497064.7978624;ADD_PULSE_2024_test.csv
European Bee DataBase;Laboratory of Zoology, University of Mons (UMONS);PULSE | SAFEGUARD;2024;ADD_PULSE_2024;Pierre Rasmont;UMONS_BDFGM;Embargoed data: access restricted until the submission and acceptance of the related data paper, after which the data will be released under http://creativecommons.org/licenses/by/4.0/.;Member of work package 5 of the WildPosh project;"";"";"";ADD_PR_BQ_1025_BDFG_359232;BDFG_359232;"";ADD_PULSE_2024;bee;"";"";Apidae;Bombus;"";"";"";(Lepeletier, 1832);Hymenoptera;Apidae;Apinae;Bombini;Bombus;Psithyrus;quadricolor;"";Bombus quadricolor;1;"";"";"";"";"";"";Bombus quadricolor, N=1, spec_Id=BDFG_359232;"";1939-NA-NA;1939;"";"";1939;"";"";"";"";"";"";"";"";Russian Federation;Russian Federation - North European Russia;"";"";61.55706024;34.45550156;"";"";"";"";provided;"";"";FIPS RS00, orig deg 61.557264 34.456094, datum EUR-M;1305878.72332455|1496178.06607329;Russian Federation - North European Russia;5595023.82090573|4497064.7978624;ADD_PULSE_2024_test.csv
