databaseName,institutionName,projectSource,projectUpdate,datasetName,datasetProvider,datasetSource,dataSource,license,occurrenceID,verbatimOccurrenceID,scientificNameAuthorship,order,family,subfamily,tribe,genus,subgenus,infraspecificEpithet,scientificName,individualCountInterval,startIndividualCount,endIndividualCount,sex,eventDateInterval,startEventDate,endEventDate,startDay,startMonth,startYear,endDay,endMonth,endYear,country,stateProvince,county,verbatimLocality,decimalLatitude,decimalLongitude,coordinatePrecision,manualGeoreferencing,isPseudodata,verbatimElevation
European Bee DataBase (EBDB),"Laboratory of Zoology, University of Mons (UMONS)",PULSE | SAFEGUARD,2025-03-06,BWARS,Guillaume Ghisbain & Pierre Rasmont,UMONS,BWARS,http://creativecommons.org/licenses/by/4.0/,PR-2191433_355170,,"(Linnaeus, 1758)",Hymenoptera,Apidae,Apinae,Bombini,Bombus,Bombus,,Bombus terrestris,FALSE,1,1,,FALSE,2002-NA-NA,2002-NA-NA,,,2002,,,2002,U.K. of Great Britain and Northern Ireland,United Kingdom - Great Britain,England,,51.02329,-1.64351,,provided,FALSE,
European Bee DataBase (EBDB),"Laboratory of Zoology, University of Mons (UMONS)",PULSE | SAFEGUARD,2025-03-06,BDFGM_Melittidae,Pierre Rasmont,UMONS,UMONS_BDFGM,http://creativecommons.org/licenses/by/4.0/,PR_Melittidae_RL_11892,BDFG_2438181,"Warncke, 1973",Hymenoptera,Melittidae,Melittinae,Macropidini,Macropis,Macropis,,Macropis europaea,FALSE,1,1,,FALSE,2003-7-4,2003-7-4,4,7,2003,4,7,2003,U.K. of Great Britain and Northern Ireland,United Kingdom - Great Britain,England,,51.35658,0.51369,,provided,FALSE,
European Bee DataBase (EBDB),"Laboratory of Zoology, University of Mons (UMONS)",PULSE | SAFEGUARD,2025-03-06,BWARS,ULB,BWARS: https://bwars.com/,BWARS,http://creativecommons.org/licenses/by/4.0/,ULB_RL_913038,,"(Scopoli, 1763)",Hymenoptera,Apidae,Apinae,Bombini,Bombus,Thoracobombus,,Bombus pascuorum,FALSE,1,1,,FALSE,2002-8-1,2002-8-1,1,8,2002,1,8,2002,U.K. of Great Britain and Northern Ireland,United Kingdom - Great Britain,England,"",51.756,-1.147,10000,provided,FALSE,
European Bee DataBase (EBDB),"Laboratory of Zoology, University of Mons (UMONS)",PULSE | SAFEGUARD,2025-03-06,SAPOLL,Pierre Rasmont,UMONS,UMONS_BDFGM,http://creativecommons.org/licenses/by/4.0/,PR_bees_SAPOLL_RL_292230,BDFGM_0142043,"(Kirby, 1802)",Hymenoptera,Andrenidae,Andreninae,Andrenini,Andrena,Melandrena,,Andrena nigroaenea,FALSE,2,2,F,FALSE,1905-8-25,1905-8-25,25,8,1905,25,8,1905,France,France - France (mainland),Nord-Pas-de-Calais,AIBES,50.23465,4.085317,,provided,FALSE,200
European Bee DataBase (EBDB),"Laboratory of Zoology, University of Mons (UMONS)",PULSE | SAFEGUARD,2025-03-06,FinBIF_LUOMUS_Finland,Juho Paukkunen,"FinBIF: https://laji.fi/en/observation/map?target=MX.289375&countryId=ML.206&collectionId=HR.3778,HR.1989,HR.3552,HR.3551,HR.1247,HR.1627,HR.1127,HR.1207,HR.121,HR.1915,HR.3811,HR.4171",FinBIF,http://creativecommons.org/licenses/by/4.0/,LUOMUS_bees_FI_59850,http://id.luomus.fi/MY.7239556,"(Fabricius, 1777)",Hymenoptera,Apidae,Apinae,Bombini,Bombus,Kallobombus,,Bombus soroeensis,FALSE,1,1,M,FALSE,1952-9-14,1952-9-14,14,9,1952,14,9,1952,Finland,Finland,Southern Finland,,60.971243,24.503796,10000,provided,FALSE,
European Bee DataBase (EBDB),"Laboratory of Zoology, University of Mons (UMONS)",PULSE | SAFEGUARD,2025-03-06,SAPOLL,Pierre Rasmont,UMONS,UMONS_BDFGM,http://creativecommons.org/licenses/by/4.0/,PR_bees_SAPOLL_RL_115627,WaarObs_115710434,"Panzer, 1799",Hymenoptera,Andrenidae,Andreninae,Andrenini,Andrena,Melandrena,,Andrena vaga,FALSE,8,8,M,FALSE,2016-3-25,2016-3-25,25,3,2016,25,3,2016,Belgium,Belgium,Vlaams Gewest,Aalter,51.1045,3.482609,,provided,FALSE,
European Bee DataBase (EBDB),"Laboratory of Zoology, University of Mons (UMONS)",PULSE | SAFEGUARD,2025-03-06,FinBIF_AmateurEntomologist_etc_Finland,Juho Paukkunen,FinBIF: https://laji.fi/en/observation/map?target=MX.289375&collectionId=HR.22,FinBIF,http://creativecommons.org/licenses/by/4.0/,FinBIF_bees_FI_RL_32392,http://tun.fi/JX.870385#2,"(Linnaeus, 1758)",Hymenoptera,Apidae,Apinae,Bombini,Bombus,Pyrobombus,,Bombus hypnorum,FALSE,1,1,,TRUE,2004-1-1,2004-12-31,1,1,2004,31,12,2004,Finland,Finland,not available,,60.272911,22.24581,10000,provided,FALSE,
European Bee DataBase (EBDB),"Laboratory of Zoology, University of Mons (UMONS)",PULSE | SAFEGUARD,2025-03-06,ArtsDataBanken_Norway,Frode Ødegaard,ArtsDataBanken: https://artskart.artsdatabanken.no/,GBIF,http://creativecommons.org/licenses/by/4.0/,GBIF_bees_NO_RL_15345,Hym-39934,"(Linnaeus, 1761)",Hymenoptera,Apidae,Apinae,Bombini,Bombus,Pyrobombus,,Bombus pratorum,FALSE,1,1,,FALSE,1952-6-22,1952-6-22,22,6,1952,22,6,1952,Norway,Norway,Hordaland,"Hjellestad, Fana",60.25,5.24,1000,provided,FALSE,
European Bee DataBase (EBDB),"Laboratory of Zoology, University of Mons (UMONS)",PULSE | SAFEGUARD,2025-03-06,SAPOLL,Pierre Rasmont,UMONS,UMONS_BDFGM,http://creativecommons.org/licenses/by/4.0/,PR_bees_SAPOLL_RL_209095,BDFGM_0068716,"Fabricius, 1793",Hymenoptera,Apidae,Nomadinae,Nomadini,Nomada,,,Nomada rufipes,FALSE,1,1,,FALSE,1975-NA-NA,1975-NA-NA,,,1975,,,1975,Belgium,Belgium,Vlaams Gewest,MECHELEN-AAN-DE-MAAS,50.97465,5.626755,,provided,FALSE,
European Bee DataBase (EBDB),"Laboratory of Zoology, University of Mons (UMONS)",PULSE | SAFEGUARD,2025-03-06,DatheH_Hylaeus,ULB,Holger Dathe,Holger Dathe,http://creativecommons.org/licenses/by/4.0/,ULB_RL_1238201,,"Nylander, 1852",Hymenoptera,Colletidae,Hylaeinae,Hylaeini,Hylaeus,Hylaeus,,Hylaeus communis,FALSE,1,1,M,FALSE,2011-6-28,2011-6-28,28,6,2011,28,6,2011,France,France - France (mainland),Rhone-Alpes,"Saint-Priest, Parc du Chteau",45.69636,4.943056,10000,provided,FALSE,
